blockchain,Time_range,whale_transaction_count,total_volume
Ethereum,2025-07-20 05:00,7,9246.719299223005
BSC,2025-07-20 04:00,4,3502.2135808685
Ethereum,2025-07-20 04:00,15,30338.587264562942
BSC,2025-07-20 03:00,4,4511.33680587
Ethereum,2025-07-20 03:00,17,45802.4631175271
BSC,2025-07-20 02:00,3,2298.9999929173
Ethereum,2025-07-20 02:00,4,4647.9999151085285
BSC,2025-07-20 01:00,1,600.9993089
Ethereum,2025-07-20 01:00,7,17547.496871966345
BSC,2025-07-20 00:00,1,1924.50645868
Ethereum,2025-07-20 00:00,8,39178.31755445644
BSC,2025-07-19 23:00,1,2000
Ethereum,2025-07-19 23:00,5,21100.988486575596
Ethereum,2025-07-19 22:00,5,14131.04842042966
BSC,2025-07-19 21:00,1,1984.8321819999999
Ethereum,2025-07-19 21:00,5,7479.948867077468
BSC,2025-07-19 20:00,2,1108.8493088999999
Ethereum,2025-07-19 20:00,6,31313.143484493026
Ethereum,2025-07-19 19:00,15,45736.58561028733
Ethereum,2025-07-19 18:00,8,42545.33991929019
BSC,2025-07-19 17:00,3,1882.5530728418894
Ethereum,2025-07-19 17:00,17,74812.88655847899
BSC,2025-07-19 16:00,3,2960.23000491
Ethereum,2025-07-19 16:00,14,45896.95434735604
BSC,2025-07-19 15:00,5,7713.3284085111
Ethereum,2025-07-19 15:00,5,14989.99991077419
BSC,2025-07-19 14:00,2,3889.3710458200003
Ethereum,2025-07-19 14:00,2,3195.3620375876826
BSC,2025-07-19 13:00,2,1787.7993031017
Ethereum,2025-07-19 13:00,11,29480.356770016653
BSC,2025-07-19 12:00,5,4418.24596838147
Ethereum,2025-07-19 12:00,7,14906.56120632029
BSC,2025-07-19 11:00,2,1325.5306154803602
Ethereum,2025-07-19 11:00,5,7747.8508443224455
BSC,2025-07-19 10:00,3,4472.464633269
Ethereum,2025-07-19 10:00,11,43566.92379028067
BSC,2025-07-19 09:00,3,9202.678215349999
Ethereum,2025-07-19 09:00,4,6961.144858899832
BSC,2025-07-19 08:00,5,15569.21188745
Ethereum,2025-07-19 08:00,8,34850.10838060902
BSC,2025-07-19 07:00,2,1299.9999955761
Ethereum,2025-07-19 07:00,8,23078.41220369
Ethereum,2025-07-19 06:00,5,25079.71769739171
BSC,2025-07-19 05:00,3,3972.0922790173
Ethereum,2025-07-19 05:00,3,20007.85020804
BSC,2025-07-19 04:00,4,5664.368553747729
Ethereum,2025-07-19 04:00,11,46055.969545102955
BSC,2025-07-19 03:00,6,7376.461436777
Ethereum,2025-07-19 03:00,14,37687.12739319423
Ethereum,2025-07-19 02:00,5,29283.981743973338
BSC,2025-07-19 01:00,2,1195.254504260169
Ethereum,2025-07-19 01:00,14,32964.7715158884
BSC,2025-07-19 00:00,1,1196.3068580633471
Ethereum,2025-07-19 00:00,17,43193.85264958507
BSC,2025-07-18 23:00,4,4073.2044468667
Ethereum,2025-07-18 23:00,8,10950.022670012411
BSC,2025-07-18 22:00,1,1182.999990411
Ethereum,2025-07-18 22:00,19,61389.84853131646
BSC,2025-07-18 21:00,1,1981.25244525
Ethereum,2025-07-18 21:00,34,147546.67652045813
BSC,2025-07-18 20:00,4,6780.153661519999
Ethereum,2025-07-18 20:00,38,122016.0245264797
BSC,2025-07-18 19:00,2,2605.631846
Ethereum,2025-07-18 19:00,47,170331.81982829294
BSC,2025-07-18 18:00,4,7727.2067917443
Ethereum,2025-07-18 18:00,30,296268.748344765
BSC,2025-07-18 17:00,7,6379.9011527446
Ethereum,2025-07-18 17:00,35,164970.70886187648
BSC,2025-07-18 16:00,7,11909.13185918
Ethereum,2025-07-18 16:00,42,126731.77739507619
BSC,2025-07-18 15:00,8,8931.920527637001
Ethereum,2025-07-18 15:00,53,299630.29423885595
BSC,2025-07-18 14:00,1,2982.793418408538
Ethereum,2025-07-18 14:00,78,400266.4352268975
BSC,2025-07-18 13:00,16,24493.105654621875
Ethereum,2025-07-18 13:00,54,233461.32561193622
BSC,2025-07-18 12:00,9,12613.6950122385
Ethereum,2025-07-18 12:00,46,246020.84559319197
BSC,2025-07-18 11:00,10,23971.15605793
Ethereum,2025-07-18 11:00,35,144083.48973628684
BSC,2025-07-18 10:00,21,46698.619195503095
Ethereum,2025-07-18 10:00,34,94687.8956063088
BSC,2025-07-18 09:00,21,33604.1460733076
Ethereum,2025-07-18 09:00,43,109434.83331715109
BSC,2025-07-18 08:00,119,129059.9999829
Ethereum,2025-07-18 08:00,37,152098.3796417531
BSC,2025-07-18 07:00,9,15683.282329226664
Ethereum,2025-07-18 07:00,30,121143.25832132131
BSC,2025-07-18 06:00,10,13554.641511818902
Ethereum,2025-07-18 06:00,37,126170.07111539152
BSC,2025-07-18 05:00,10,8949.149074495499
Ethereum,2025-07-18 05:00,54,211376.38131617603
BSC,2025-07-18 04:00,7,5921.883052220656
Ethereum,2025-07-18 04:00,25,56912.25496067121
BSC,2025-07-18 03:00,14,21518.535546403124
Ethereum,2025-07-18 03:00,37,137262.52213114593
BSC,2025-07-18 02:00,5,3638.999999
Ethereum,2025-07-18 02:00,45,202862.5475253872
BSC,2025-07-18 01:00,4,3135.796403818054
Ethereum,2025-07-18 01:00,37,112095.44602337445
BSC,2025-07-18 00:00,2,7599.999933380001
Ethereum,2025-07-18 00:00,8,12396.993360889292
BSC,2025-07-17 23:00,5,22715.03722238095
Ethereum,2025-07-17 23:00,24,125243.11661293928
BSC,2025-07-17 22:00,6,38793.76000968
Ethereum,2025-07-17 22:00,29,149594.48690553915
Ethereum,2025-07-17 21:00,25,97829.59172624681
BSC,2025-07-17 20:00,1,1188.68
Ethereum,2025-07-17 20:00,23,71145.69076299698
BSC,2025-07-17 19:00,1,1948.12000744
Ethereum,2025-07-17 19:00,41,115874.90093697172
BSC,2025-07-17 18:00,1,1000.0000279
Ethereum,2025-07-17 18:00,22,55950.13518825564
BSC,2025-07-17 17:00,13,21627.03708877661
Ethereum,2025-07-17 17:00,18,136695.03287024982
BSC,2025-07-17 16:00,6,7510.6124954973
Ethereum,2025-07-17 16:00,26,108162.17500754923
BSC,2025-07-17 15:00,15,41253.98614034847
Ethereum,2025-07-17 15:00,48,323983.55950713076
BSC,2025-07-17 14:00,13,17637.53888653633
Ethereum,2025-07-17 14:00,68,207084.6258291846
BSC,2025-07-17 13:00,14,14911.783386389498
Ethereum,2025-07-17 13:00,39,238253.75178058015
BSC,2025-07-17 12:00,5,5206.84937697265
Ethereum,2025-07-17 12:00,28,121135.64562551277
BSC,2025-07-17 11:00,10,18352.788316438036
Ethereum,2025-07-17 11:00,23,170741.6270474189
BSC,2025-07-17 10:00,116,159121.85655441604
Ethereum,2025-07-17 10:00,17,75574.49585370682
BSC,2025-07-17 09:00,16,24829.221201080512
Ethereum,2025-07-17 09:00,27,89025.59954228619
BSC,2025-07-17 08:00,81,88856.65663141062
Ethereum,2025-07-17 08:00,35,179978.34710036014
BSC,2025-07-17 07:00,5,5427.88164644
Ethereum,2025-07-17 07:00,28,159746.83876051806
BSC,2025-07-17 06:00,37,44616.8567636458
Ethereum,2025-07-17 06:00,18,50317.68172567914
BSC,2025-07-17 05:00,72,78148.32000790001
Ethereum,2025-07-17 05:00,10,15892.60084702355
